Genotype	Phenotype
108	1
139	1
159	1
265	1
350	1
351	1
403	1
410	1
424	1
428	1
430	1
470	1
476	1
484	1
504	1
506	1
531	1
544	1
546	1
628	1
630	1
680	1
681	1
685	1
687	1
728	1
742	1
763	1
765	1
766	1
768	1
772	1
801	1
853	1
854	1
867	1
868	1
870	1
915	1
932	1
991	1
992	1
997	1
1002	1
1006	1
1061	1
1062	1
1063	1
1066	1
1070	1
1158	1
1166	1
1254	1
1257	1
1313	1
1317	1
1552	1
1612	1
1622	1
1651	1
1652	1
1676	1
1684	1
1739	1
1741	1
1756	1
1757	1
1793	1
1797	1
1819	1
1820	1
1829	1
1834	1
1835	1
1851	1
1852	1
1853	1
1872	1
1890	1
1925	1
1942	1
1943	1
1954	1
2016	1
2017	1
2031	1
2053	1
2057	1
2081	1
2091	1
2106	1
2108	1
2141	1
2159	1
2166	1
2171	1
2191	1
2202	1
2212	1
2239	1
2240	1
2276	1
2278	1
2285	1
2286	1
2317	1
2370	1
2412	1
4779	1
4807	1
4826	1
4840	1
4857	1
4884	1
4900	1
4939	1
4958	1
5023	1
5104	1
5151	1
5165	1
5210	1
5236	1
5249	1
5253	1
5276	1
5279	1
5349	1
5353	1
5395	1
5486	1
5577	1
5644	1
5651	1
5717	1
5718	1
5720	1
5726	1
5741	1
5748	1
5757	1
5768	1
5772	1
5776	1
5779	1
5784	1
5798	1
5800	1
5811	1
5822	1
5830	1
5831	1
5832	1
5836	1
5837	1
5856	1
5860	1
5865	1
5867	1
5874	1
5890	1
5893	1
5907	1
5921	1
5950	1
5984	1
5993	1
6008	1
6009	1
6010	1
6011	1
6012	1
6013	1
6016	1
6017	1
6019	1
6020	1
6021	1
6022	1
6023	1
6024	1
6025	1
6030	1
6034	1
6035	1
6036	1
6038	1
6039	1
6040	1
6041	1
6042	1
6043	1
6046	1
6064	1
6069	1
6070	1
6071	1
6073	1
6074	1
6076	1
6077	1
6085	1
6086	1
6087	1
6088	1
6090	1
6091	1
6092	1
6094	1
6095	1
6096	1
6097	1
6098	1
6099	0
6100	1
6101	1
6102	1
6104	1
6105	1
6106	1
6107	1
6108	1
6109	1
6111	1
6112	0
6113	1
6114	1
6115	1
6118	1
6119	1
6122	1
6123	1
6124	1
6125	1
6126	1
6128	1
6131	1
6132	1
6133	1
6134	1
6136	1
6137	1
6138	1
6140	1
6141	1
6142	1
6145	1
6148	1
6149	1
6150	1
6151	1
6153	1
6154	1
6163	1
6166	1
6169	0
6172	1
6173	1
6174	1
6177	1
6180	1
6184	1
6188	1
6189	1
6191	1
6192	1
6193	1
6194	1
6195	1
6198	1
6201	1
6202	1
6203	1
6209	1
6210	1
6214	1
6216	1
6217	1
6218	1
6220	1
6221	1
6231	1
6235	1
6237	1
6238	1
6240	1
6241	1
6242	1
6243	1
6244	1
6252	1
6255	1
6258	1
6268	1
6276	1
6284	1
6296	1
6390	1
6396	1
6413	1
6424	1
6434	1
6445	1
6680	1
6739	1
6740	1
6744	1
6749	1
6750	1
6805	1
6806	1
6814	1
6830	1
6897	1
6898	1
6900	1
6901	1
6903	1
6904	1
6907	1
6908	1
6909	1
6911	1
6913	1
6915	1
6917	1
6918	1
6919	1
6920	1
6922	1
6923	1
6924	1
6926	1
6927	1
6929	1
6931	1
6932	1
6933	1
6938	1
6940	1
6943	1
6944	1
6945	1
6951	1
6956	1
6957	1
6958	1
6959	1
6960	1
6961	1
6963	1
6966	1
6967	1
6968	1
6969	1
6970	1
6971	1
6973	1
6974	1
6975	1
6976	1
6979	1
6981	1
6982	1
6984	1
6986	1
6987	1
6989	1
6990	1
6992	1
6997	1
7000	1
7002	1
7003	1
7008	1
7013	1
7014	1
7025	1
7026	1
7028	1
7031	1
7033	1
7036	1
7058	1
7061	1
7062	1
7063	0
7064	1
7067	1
7068	1
7071	0
7072	1
7077	1
7081	1
7092	1
7094	1
7096	1
7102	1
7103	1
7106	1
7107	1
7109	1
7111	1
7117	1
7119	1
7120	1
7125	1
7126	1
7127	1
7130	1
7133	1
7138	1
7143	1
7147	1
7158	1
7160	1
7161	1
7162	1
7163	1
7164	1
7165	1
7169	1
7177	1
7181	1
7183	1
7186	1
7192	1
7199	1
7202	1
7203	1
7207	1
7208	1
7209	1
7213	1
7217	0
7218	1
7223	1
7231	1
7236	1
7244	1
7248	1
7250	1
7255	1
7258	0
7268	1
7273	1
7276	1
7280	1
7282	1
7287	0
7288	1
7296	1
7298	1
7305	1
7306	1
7307	1
7314	1
7316	1
7319	1
7320	1
7322	1
7323	1
7327	1
7328	1
7332	1
7333	1
7337	0
7342	1
7343	1
7344	1
7346	1
7347	1
7349	1
7350	1
7353	1
7354	1
7356	1
7358	1
7359	1
7372	1
7373	1
7377	1
7378	1
7382	1
7383	1
7384	1
7387	1
7394	1
7396	1
7404	1
7411	1
7413	1
7415	1
7416	1
7417	1
7418	1
7419	1
7424	1
7427	1
7430	1
7460	1
7461	1
7471	1
7475	1
7477	1
7514	1
7515	1
7516	1
7517	1
7520	1
7521	1
7523	1
7525	1
7529	1
7530	1
7566	1
7568	1
7717	1
7757	1
7767	1
7917	1
7947	1
8037	1
8057	1
8077	1
8132	1
8171	1
8214	1
8222	1
8227	1
8230	1
8231	1
8233	1
8234	1
8235	1
8236	1
8237	1
8238	1
8239	1
8240	1
8241	1
8242	1
8243	1
8244	1
8246	1
8247	1
8249	1
8256	1
8258	1
8259	1
8264	1
8283	1
8284	1
8285	1
8290	1
8297	1
8306	1
8307	1
8311	1
8312	1
8326	1
8334	1
8335	1
8337	1
8343	1
8351	1
8354	1
8357	1
8365	1
8366	1
8369	1
8376	1
8386	1
8387	1
8419	1
8420	1
8422	1
8424	1
8426	1
8427	1
8464	1
8483	1
8699	1
8723	1
9027	1
9057	1
9058	1
9067	1
9069	1
9070	1
9075	1
9078	1
9079	1
9081	1
9084	1
9085	1
9089	1
9091	1
9095	1
9099	1
9100	1
9102	1
9103	1
9104	1
9105	1
9106	1
9111	1
9113	1
9114	1
9115	1
9121	1
9125	1
9128	1
9130	1
9131	1
9133	1
9134	1
9298	1
9312	1
9314	1
9321	1
9323	1
9332	1
9336	1
9339	1
9343	1
9352	1
9353	1
9363	1
9369	1
9370	1
9371	1
9380	1
9381	1
9382	1
9383	1
9386	1
9388	1
9390	1
9391	1
9392	1
9394	1
9395	1
9399	1
9402	1
9404	1
9405	1
9407	1
9408	1
9409	1
9412	1
9413	1
9416	1
9421	1
9427	1
9433	1
